objectid,filename,youtubeid,title,creator,date,description,genre,label,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
vinyl001,B52s.jpg,,The B-52's,The B-52's,1979-07-06,,New Wave; Post Punk,Warner Bros.,34.03355916,-118.2303063,,,,image/jpeg,,,
vinyl002,BackPocket.jpg,,Back Pocket,Vulfpeck,,,Funk; Soul,Vulf Records,,,,,,image/jpeg,,,
vinyl003,BonIver.jpg,,Bon Iver,Bon Iver,2011-06-17,,Post Rock; Chamber Folk,Jagjaguwar; 4AD,39.1649686,-86.53835283,,,,image/jpeg,,,
vinyl004,GetzAuGoGo.jpg,,Getz au Go Go,The New Stan Getz Quartet,1964-12,,Jazz,Verve,34.09032291,-118.3938834,,,,image/jpeg,,,
vinyl005,GhostonGhost.jpg,,Ghost on Ghost,Iron & Wine,2013-05-16,,Indie Folk,4AD; Nonesuch,51.45852115,-0.1855417191,,,,image/jpeg,,,
vinyl006,HelplessnessBlues.jpg,,Helplessness Blues,Fleet Foxes,2011-05-03,,Indie Folk; Chamber Pop,Sub Pop; Bella Union,47.61321129,-122.3406037,,,,image/jpeg,,,
vinyl007,HillClimber.jpg,,Hill Climber,Vulfpeck,2018,,Funk; Soul,Vulf Records,,,,,,image/jpeg,,,
vinyl008,HisGreatestYears.jpg,,His Greatest Years,John Coltrane,,,,,,,,,,image/jpeg,,,
vinyl009,LittleQueen.jpg,,Little Queen,Heart,1977-05-14,,Rock,Portrait,34.01766962,-118.4013737,,,,image/jpeg,,,
vinyl010,Mordechai.jpg,,Mordechai,Khruangbin,2020-04-27,,Indie Folk,Dead Oceans; Night Time Stories,39.1649686,-86.53835283,,,,image/jpeg,,,
vinyl011,PhysicalGraffiti.jpg,,Physical Graffiti,Led Zeppelin,1975-02-24,,Rock,Swan Song,51.51758857,-0.08989680061,,,,image/jpeg,,,
vinyl012,ShepherdsDog.jpg,,The Shepherd's Dog,Iron & Wine,2007-09-25,,Folk Rock,Sub Pop,47.61321129,-122.3406037,,,,image/jpeg,,,
vinyl013,SomethingElse.jpg,,Somethin' Else,Cannonball Adderley,1958-08,,Jazz,Blue Note,40.73967638,-73.99133336,,,,image/jpeg,,,
vinyl014,TakinOff.jpg,,Takin' Off,Herbie Hancock,1962,,Jazz,Blue Note,40.73967638,-73.99133336,,,,image/jpeg,,,
vinyl015,ViewtheWholeWorld.jpg,,Little Creatures,Talking Heads,1985-06-10,,New Wave; Pop Rock,Sire,,,,,,image/jpeg,,,
vinyl016,YearstoBurn.jpg,,Years to Burn,Calexico and Iron & Wine,2019-06-14,,Alternative Rock,Sub Pop,47.61321129,-122.3406037,,,,image/jpeg,,,
